Relatório - Faturamento
Data - 2025-07-05T16:38:30.223941100
Ciclo - Especial 2022

68697eb1bec2e51631467c82#Cliente 0#CTN0#1900/01/01
68697eb1bec2e51631467cd3#Cliente 81#CTN81#1981/01/01
68697eb1bec2e51631467cd4#Cliente 82#CTN82#1982/01/01
68697eb1bec2e51631467cd5#Cliente 83#CTN83#1983/01/01
68697eb1bec2e51631467cd6#Cliente 84#CTN84#1984/01/01
68697eb1bec2e51631467cd7#Cliente 85#CTN85#1985/01/01
68697eb1bec2e51631467cd8#Cliente 86#CTN86#1986/01/01
68697eb1bec2e51631467cd9#Cliente 87#CTN87#1987/01/01
68697eb1bec2e51631467cda#Cliente 88#CTN88#1988/01/01
68697eb1bec2e51631467cdb#Cliente 89#CTN89#1989/01/01
68697eb1bec2e51631467cdc#Cliente 90#CTN90#1990/01/01
68697eb1bec2e51631467cdd#Cliente 91#CTN91#1991/01/01
68697eb1bec2e51631467cde#Cliente 92#CTN92#1992/01/01
68697eb1bec2e51631467cdf#Cliente 93#CTN93#1993/01/01
68697eb1bec2e51631467ce0#Cliente 94#CTN94#1994/01/01
68697eb1bec2e51631467ce1#Cliente 95#CTN95#1995/01/01
68697eb1bec2e51631467ce2#Cliente 96#CTN96#1996/01/01
68697eb1bec2e51631467ce3#Cliente 97#CTN97#1997/01/01
68697eb1bec2e51631467ce4#Cliente 98#CTN98#1998/01/01
